entity_name,defined_on,name,comments,type_dmkr,type_impl,array_dmkr,array_impl,required_dmkr,required_impl,description_dmkr,description_impl,extra_impl
Dataset,AIResource,keyword,,String,string,True,True,False,False,terms or phrases providing additional context for the resource.,"Keywords or tags used to describe this resource, providing additional context.","items: {'type': 'string'}, example: ['keyword1', 'keyword2']"
Dataset,AIResource,location,"What is the location of a Dataset? We removed the location from AIResource, because the meaning is unclear (at least to me). In IMPL, we do have AIResource.contact.location, Event.location, EducationalResource.location, and Dataset.spatial_coverage (all a Location or a list of Locations)",Location,,True,,False,,A geographical specification of where the resource resides.,,
Dataset,AIResource,media,Todo: add to DMKR? (see comment about image),,#/components/schemas/Distribution,,True,,False,,Images or videos depicting the resource or associated with it. ,"items: {'$ref': '#/components/schemas/Distribution'}, example: []"
Dataset,AIResource,name,,String,string,False,False,True,True,A name given to the resource,,"maxLength: 256, example: The name of this resource"
Dataset,AIResource,note,Todo: add to DMKR?,,#/components/schemas/Note,,True,,False,,Notes on this AI resource.,"items: {'$ref': '#/components/schemas/Note'}, example: []"
Dataset,AIResource,relevant_link,See relevant_links,,string,,True,,False,,URLs of relevant resources. These resources should not be part of AIoD (use relevant_resource otherwise). This field should only be used if there is no more specific field.,"items: {'type': 'string'}, example: ['https://www.example.com/a_relevant_link', 'https://www.example.com/another_relevant_link']"
Dataset,AIResource,relevant_resource,Todo: add to DMKR.,,integer,,True,,False,,,"items: {'type': 'integer'}, example: []"
Dataset,AIResource,relevant_to,Todo: add to DMKR. Back-relation of relevant-resource,,integer,,True,,False,,,"items: {'type': 'integer'}, example: []"
Dataset,AIResource,research_area,"The description of fields application_area, research_area, industrial_sector and scientific_domain  should be improved. It should be very clear what should end up where.",ResearchArea,string,True,True,False,False,A research area under which the research problems remedied by the resource fall,"The research area is similar to the scientific_domain, but more high-level.","items: {'type': 'string'}, example: ['Explainable AI', 'Physical AI']"
Dataset,AIResource,same_as,,URL,string,True,False,False,False,A link to a web location with information on the resource.,Url of a reference Web page that unambiguously indicates this resource's identity.,"maxLength: 256, example: https://www.example.com/resource/this_resource"
Dataset,AIResource,scientific_domain,,ScientificDomain,string,True,True,False,False,"A scientific domain where the activities, operations or outcomes of the resource are applicable.",The scientific domain is related to the methods with which an objective is reached.,"items: {'type': 'string'}, example: ['Anomaly Detection', 'Voice Recognition', 'Computer Vision.']"
